letter	frequency
ARI14	154
ATL14	121
BAL14	151
BOS14	154
CHC14	115
CHW14	140
CIN14	163
CLE14	135
COL14	173
DET14	127
HOU14	139
KCR14	128
LAA14	126
LAD14	142
MIA14	114
MIL14	167
MIN14	147
NYM14	141
NYY14	164
OAK14	147
PHI14	134
PIT14	128
SDP14	117
SEA14	137
SFG14	133
STL14	123
TBR14	145
TEX14	160
TOR14	151
WSN14	110
ARI16	202
ATL16	177
BAL16	183
BOS16	176
CHC16	163
CHW16	185
CIN16	258
CLE16	186
COL16	181
DET16	182
HOU16	181
KCR16	206
LAA16	208
LAD16	165
MIA16	152
MIL16	178
MIN16	221
NYM16	152
NYY16	214
OAK16	185
PHI16	213
PIT16	180
SDP16	183
SEA16	213
SFG16	158
STL16	159
TBR16	210
TEX16	201
TOR16	183
WSN16	155